20051976,18530506,15196082,14570990,18568455,14942623,12514386,16396750,16884689,13931143,12711252,14111238,15709888,16928391,13148883,13531029,10684377,11378332,14080045,11040458,17180933,14485022,13366356,6704453,11499073,11043980,13170361,10750852,14736892,13618586,14377495,0
29036986,26680094,20963077,19858157,26795682,20886557,15291295,24262632,24621278,18597700,15899393,16176303,22775752,24256571,15278826,17799293,11441031,12228173,16494466,11844728,24792217,19276098,15514928,7115365,12347985,12209212,15660957,12436038,20075014,16279252,0,14377495
23660425,21772987,17987830,16248646,21652159,17708467,13936056,19167763,19766055,15975780,14357359,17032001,18257417,20322761,14239519,15862640,11591799,12101680,15485015,11720966,20022723,16390710,14686076,6905792,11966521,12456768,13930700,11543850,16738043,0,16279252,13618586
29881287,27188698,21022513,19575715,26742383,21130622,15753662,24116195,24681476,19495660,16588033,18255232,22745032,24442888,16712619,17549155,12217465,13320235,17537679,12813244,24850733,19215786,16454510,7475333,13252857,12981593,15937443,13157350,0,16738043,20075014,14736892
18037742,16517892,13693949,12817033,16363304,13288504,10706720,14598637,15153977,12481923,11762574,12304583,14215009,15006497,11294425,11494742,9985020,10747061,12497997,11151746,15582794,12505207,11921805,6295136,11291722,10670119,12405878,0,13157350,11543850,12436038,10750852
22204330,20374608,16533262,15798982,20599347,16577006,12725454,18183189,18619980,15230519,14210653,14729595,17284485,18657344,13525357,13993518,11317332,12134686,15185027,11737684,18721825,15614372,14465084,7411347,12487099,12086499,0,12405878,15937443,13930700,15660957,13170361
17418363,16008247,13941465,12542294,15771372,13135237,10551845,14079256,14409610,12380184,11679488,12903527,13576342,14728054,11427448,11830872,11074389,10954719,12796470,10709918,14797879,12740029,12205207,6819789,12011004,0,12086499,10670119,12981593,12456768,12209212,11043980
17591093,16122219,13437920,12708615,15998483,13157016,10922300,14239521,14628804,12568131,12378181,12616161,14063424,14785059,11884080,11843256,10746886,12091757,13068238,11712185,14999678,12594048,12551028,7077886,0,12011004,12487099,11291722,13252857,11966521,12347985,11499073
9613299,8668168,7479251,7363341,8757560,7348173,6026094,7894491,7893842,7023214,6880976,7292379,7485398,8002392,6793862,6726607,6782003,7131105,7795634,7100838,7944056,6909996,7673428,0,7077886,6819789,7411347,6295136,7475333,6905792,7115365,6704453
22836429,21057762,17075015,16002791,20489070,16778636,13372759,18315295,19262498,15996230,14492051,15564035,17621051,18970455,14455053,14425728,12176244,12973137,17817437,12746248,19181162,15513088,0,7673428,12551028,12205207,14465084,11921805,16454510,14686076,15514928,13366356
