10913575,7220361,6850861,8961608,7137052,9487130,8900655,6724497,10439430,10433070,7293859,5850269,6916546,6865104,6382350,7434886,6255790,5227984,8207236,6776277,12351913,3628972,6296182,5416323,5613224,6564075,7400730,6102070,8755042,8818663,5827391,3403145,5105136,5586309,9668035,8963102,5634266,6024323,10271820,6566239,8716775,7249769,6550706,5892829,6094353,7808751,6848992,5983455,8718404,6878569,7696092,8419843,8374558,8292011,7107412,7559874,7448947,7115240,8771884,8783606,10303251,7945144,11289722,0
13922769,8112360,7231270,10501538,8365840,11634901,10189260,7715322,11158170,10130408,8076266,6294132,7922714,6432705,7084628,7851037,6679503,5619020,8686821,7182715,15643927,3440548,6470565,5678937,5187491,6778532,6812027,6258992,7768690,8361348,5714665,3160725,5237503,5380229,9282687,9065299,5189446,6144293,10885685,6546345,9074818,6454169,6968882,6313952,6298687,8955756,7032507,5722513,9136365,7352662,9198824,10234671,9473161,8857243,7806883,9365529,8519847,7981079,10272014,9792678,13050771,9024526,0,11289722
15595916,8304594,6757264,12874162,7581616,14093487,9277229,6992729,8879205,8478562,11082283,5303608,8932164,5703003,5958799,7652264,6002328,4243755,7424063,7610864,14352657,3131387,6015593,4338953,4822844,6680081,5526502,5409897,6102397,6141302,6499042,2864209,4656974,4542753,7279520,7960163,4294460,7350077,8070554,5985868,7557025,4675019,7326859,4940459,5651521,9598361,9531968,5296997,7636590,6261340,7652729,9389946,11203051,8082976,7528923,8424532,7768458,7275665,9058146,9037886,13847743,0,9024526,7945144
24604083,12797682,8425661,18068253,11028702,21185538,14312757,9936463,13702276,11254549,12153514,6234805,11757571,6162510,7248233,9885439,7787878,4509339,9877552,10830259,25871334,3050981,6776719,4709310,5188343,9760897,6347201,6343976,7313948,7723984,7946659,3145141,5102048,4863310,9639580,9963002,4338669,9024857,11851827,7756770,10440844,5317986,11023380,5454835,6629150,13888065,9739029,5688549,10142457,7898568,10834420,14180035,14690674,11650737,10711017,12748244,11532865,10069994,14245123,13221639,0,13847743,13050771,10303251
13345952,8288692,6969881,11033046,7666637,11605294,10280236,7407286,10220745,9084325,8315826,5776647,7846863,7156227,6485857,7423132,6621888,4774315,9054199,7249153,15154517,3490337,6219335,5062294,5289484,6868642,6627914,5981303,6981739,7759704,5903135,3250590,5191726,5234330,8465103,9663507,5472830,6164074,9430122,6245412,8471028,5780646,7128910,5429983,6058458,8947382,7110552,5704501,10081176,6684361,8203942,9571345,9339768,9509355,7721114,9406828,8802685,8296049,10287156,0,13221639,9037886,9792678,8783606
14170705,8349151,7957333,11599136,9992901,12313517,10061895,7488347,10064773,9453791,8312483,5736770,8590213,5809615,6287533,9869375,7382363,4482062,8002105,7623539,16057220,3221960,7964593,4572219,5755087,6714851,6459388,6445427,6362259,7505953,5405095,3573402,5932724,5477745,7762174,8500209,4402797,6168875,9946369,6838432,7895034,5305578,7363029,4988242,6978480,9046156,7119049,5833516,8481303,6462445,8203086,9949360,9664421,8957451,7763999,9606923,9077980,8541184,0,10287156,14245123,9058146,10272014,8771884
10301456,6865814,8603671,8621506,6624172,9102409,8187806,6188801,7857313,7385692,6787068,5557749,7152644,5535035,6332712,7244378,7926410,4491437,7033449,6305656,12089450,4824704,6882212,4713790,5967050,5955596,5720473,7387447,5829323,6105588,5076511,3794328,6074911,5563262,6874349,7229821,4272707,5601209,7565425,6333331,6836371,4734236,6111470,4969481,6938547,7232428,6130120,7762326,7151146,5813698,6838154,8505006,7597288,7158372,6646438,7739111,7981637,0,8541184,8296049,10069994,7275665,7981079,7115240
11794429,7493797,6110244,9626958,6936378,10359548,8771642,8613645,8496893,7575221,7338467,5857316,7518484,5122137,6388660,6839977,5950645,5247271,7003985,6895005,13277404,2901729,5374390,4892958,4380316,5793258,5271039,5056681,5612308,6229301,5353445,2638813,4637856,4383836,6823546,7139740,3902751,5320431,8215212,5787189,7458391,4488482,6204694,5007003,5403871,7802251,6280695,5052210,7097152,7312786,8631839,9942541,8321337,7865649,8499397,9556078,0,7981637,9077980,8802685,11532865,7768458,8519847,7448947
12756530,8113988,6387782,10447008,7615276,11202537,9128350,8588389,9187354,7996722,7734182,6566224,7547236,5388892,7167727,7043885,5928656,4628743,7440359,7004603,14315221,2819658,5542220,5132352,4515952,6565248,5357036,5204570,5869118,6240027,5560609,2659398,4356809,4489483,7142685,7539899,4076596,5737993,8342700,6693949,7966261,4604959,6488387,5705893,5289206,8844213,6553703,4909095,7463515,8231109,9354410,10352085,9053874,7971137,9320019,0,9556078,7739111,9606923,9406828,12748244,8424532,9365529,7559874
10678009,7056488,6162771,8877843,6819786,9374582,8096324,8083980,7737946,7103377,6869357,6489817,7497586,5417780,6971371,6624594,5637527,4636927,6905517,7013879,11904843,2871705,5447293,5346522,4506522,6094683,5372579,5051727,5611570,6206374,5845862,2724548,4388084,4517157,6654744,7058033,4209795,5806786,7642550,6648204,7692968,4763164,6598748,5976642,5270860,7614313,6148114,4955132,7272225,7626672,8222924,9251415,7725951,8055125,0,9320019,8499397,6646438,7763999,7721114,10711017,7528923,7806883,7107412
11736144,7815610,6680613,9661449,7358177,10328680,9317921,7300654,8831758,8158248,7296234,5638293,7594270,6750787,6168980,7176627,6231595,4884921,8386109,7886075,13251608,3380217,6106027,4852842,5108227,6228689,6337298,5851251,6447556,7246166,6619881,3254698,5105206,5092822,7989546,8925613,5463016,6121845,8937791,6352174,7783969,5655195,7287014,5210830,5943845,7987543,6571490,5602068,10372787,6976671,8017331,8753793,8637663,0,8055125,7971137,7865649,7158372,8957451,9509355,11650737,8082976,8857243,8292011
16213791,9257817,6622966,13240820,7972280,14967723,9802916,7481714,9629149,8938522,9991580,5441448,8799668,5512784,6175827,7531809,6043827,4040666,7678506,8093383,16038022,2838318,5909379,4193646,4478488,7297050,5510486,5253322,5946187,6528500,6040933,2633998,4317579,4381239,7725010,7798904,4216200,6238796,9060574,5837961,8089647,4672882,8569265,4689891,5596425,10412804,8899314,4978042,7989738,6933655,8590171,10640570,0,8637663,7725951,9053874,8321337,7597288,9664421,9339768,14690674,11203051,9473161,8374558
14376039,8397233,6804159,11810048,8037451,12672122,9954130,8436762,9933252,8730172,8470806,6580643,8580482,5804574,7773004,7561384,6573630,5285247,8063017,7421308,16075980,3147246,5777173,5583846,4765602,6468649,5791675,5540409,6294553,7035867,5537331,2801451,4915947,4572458,7916296,8083179,4284720,5879773,9494538,6513905,8451847,4928963,7045672,5925312,5961178,9815852,7052195,5425760,8278808,7669830,9475875,0,10640570,8753793,9251415,10352085,9942541,8505006,9949360,9571345,14180035,9389946,10234671,8419843
11271278,7355598,6343148,9446496,7125660,9810994,8499215,7969042,8458103,7577517,7113598,6565894,7183441,5437018,6715002,6749447,5696435,5608999,6985789,7065662,12786660,2877802,5486785,5733935,4538142,5951012,5495554,5193463,5915669,6354822,5657176,2811962,4449790,4530190,7010865,7295008,4210821,5448838,8101751,6314881,7744751,4835846,6325303,5835947,5213962,8005699,6269249,4943439,7193527,8966743,0,9475875,8590171,8017331,8222924,9354410,8631839,6838154,8203086,8203942,10834420,7652729,9198824,7696092
8371847,6112788,5656612,7006623,5934054,7200346,6601932,7615005,6596738,6716653,5773472,6230360,6159772,5419527,6383295,5765060,5159614,5000687,6546716,6235698,9562520,2971422,5307678,5272909,4493708,5760752,5429955,5023383,5591614,5881171,5645840,2858533,4234769,4874048,6439588,6856372,4430506,5185382,6616346,6417001,6998498,4708629,6036761,5940712,5042825,6752569,5519397,5024299,6604539,0,8966743,7669830,6933655,6976671,7626672,8231109,7312786,5813698,6462445,6684361,7898568,6261340,7352662,6878569
