328307,129110,144837,91742,76978,102740,51392,105484,131602,128635,82473,47421,46100,301823,99899,51982,53562,235990,225094,139045,279494,133036,48255,46587,65808,59725,46059,97074,255999,155066,45917,49282,88620,57287,52797,56706,290652,119488,51768,50588,81937,62244,300435,48864,80606,230385,312632,63384,163480,72334,92258,47582,63229,238102,58350,150980,103053,200347,47799,337331,49210,166049,48871,19476
222836,153237,120228,169435,72571,90160,44987,90551,71009,64959,124478,44954,189283,207505,82518,48181,47161,152817,47615,126071,202221,89700,49193,46448,72728,51097,190009,87388,184641,84716,63047,48839,66045,97556,49374,86855,213201,89408,181135,44112,80477,54755,225031,48092,68832,45612,224951,57430,128056,80029,79406,77514,76579,48398,55345,53227,89735,85578,63743,226547,178229,110786,19326,48874
1891253,246321,1063992,220345,741980,491943,147902,457923,1227541,208785,1431320,185520,113701,2882719,802719,255479,237436,1761102,133146,2837177,1861458,235377,140186,165132,572046,378712,124430,497426,1605245,1797324,174505,153969,170486,143318,287234,167611,3236055,669755,135470,147930,128554,148613,3361146,140827,208404,142199,3438547,272009,2867811,161452,439596,137532,161425,142726,268849,159494,228850,571144,145817,2541437,119415,69556,110759,165957
251037,145569,119728,193313,62887,89349,45351,86855,68342,47539,132113,43779,194707,229923,88367,48038,48956,179268,49058,112935,217104,96576,44788,56748,67669,51083,196607,84689,201276,73919,43466,44875,45554,84300,50938,87105,226705,86942,194809,55254,109975,56597,229684,45090,72464,47237,235678,57609,132138,63418,78057,108898,58486,49462,51541,57341,91423,90523,44406,250589,19072,119437,178229,49196
6691053,1291527,1453333,784751,742950,977931,276989,973144,481255,330091,1217353,274099,240669,7942193,2024521,314029,307995,5848936,273787,2066371,8042930,2631102,271084,269829,563315,388812,259432,1002826,7715039,1657415,289558,311481,293266,583365,319039,353366,8018184,1972462,372666,296804,555684,528878,8440095,264408,1337131,282427,8762671,491170,2746503,1266638,929098,268169,808507,255131,304204,782053,2315214,1831512,237797,145842,250464,2541645,226376,337078
243481,94055,144717,77503,97169,80481,48044,92178,150560,116439,95278,41738,46115,213647,86684,45520,46151,172293,56032,127168,203139,167304,45044,47590,182803,57830,48123,89759,226596,143990,204752,45636,111889,46296,46759,47713,218424,104167,50918,72162,49283,54112,221763,45176,67765,53647,229026,54461,130658,71464,77889,43367,65655,47966,53141,131121,91627,128728,17692,238133,44407,145948,63721,47786
687809,136454,559483,140107,399826,244660,89074,229352,107299,220737,541170,86415,83025,1530360,1371209,95781,97162,1454978,183842,487564,1806380,175759,90191,81771,293507,171261,93147,299795,1767870,342344,141029,100371,92242,81459,93412,88784,1563911,356796,97084,112107,96789,104163,1663034,84722,117452,180528,1764221,184236,834248,101162,218250,87050,92353,174712,111164,150896,132922,43910,128683,1824991,90506,570768,85517,200035
1476795,687332,258055,208849,117924,285971,134120,277611,134115,114247,161705,96920,103024,2073507,154119,225390,221828,889389,94565,281580,2207833,134061,149768,88196,111765,211280,97591,273479,2080011,147544,109346,151008,124328,93315,215415,179239,1980016,211666,179504,86083,100614,154339,2078651,140863,1196480,95493,2080113,155851,323674,1113889,259493,93733,742217,95595,205247,94232,47036,132905,91632,2316515,91322,228922,89702,103047
942354,178603,192195,119160,117793,115081,54395,118692,134148,75861,77595,56725,51129,685438,97756,61902,61378,642830,158827,143711,706251,160822,54724,51440,110393,66821,52929,118794,668428,188787,129797,54672,69703,367517,60763,59336,659474,562986,58447,58249,86386,80189,701280,55087,81632,152072,754334,67733,175651,80609,103926,54732,65498,141680,59619,26292,94250,150992,131108,782075,57300,159564,53236,150996
316028,106903,162347,89340,88385,115903,63823,118877,112789,77744,131813,102564,47818,289969,193985,248024,242320,252201,50397,150208,305875,106289,66647,50755,77560,265214,53224,112055,264925,112355,51733,67836,98690,65434,237138,66712,286670,127992,53377,52042,53033,63095,299658,67711,96353,52044,308491,64823,173984,78538,100131,49602,96077,55331,25070,59651,205368,111295,53281,304463,51491,269350,55334,58331
